accident_index,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,hour_of_day,road_type,speed_limit,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,vehicle_type
ACC042395,3,2,1,2,13,12,70,1,1,4,1,1,5
ACC042396,3,2,1,5,14,2,70,1,1,1,1,2,1
ACC042397,2,3,4,5,0,2,60,0,6,1,2,1,3
ACC042398,3,2,1,1,20,2,50,0,7,1,2,2,1
ACC042399,3,1,1,7,19,2,30,0,1,1,2,1,1
ACC042400,2,2,3,5,18,1,60,0,1,2,1,2,11
ACC042401,3,3,3,2,0,2,60,1,1,2,3,1,9
ACC042402,3,3,1,5,4,6,70,1,1,2,1,1,2
ACC042403,2,1,2,3,18,2,30,2,5,1,5,1,9
ACC042404,3,2,2,1,14,2,50,4,1,4,4,1,5
ACC042405,3,3,1,6,11,12,70,0,7,1,5,1,2
ACC042406,1,1,1,7,11,9,30,4,5,2,2,1,9
ACC042407,3,3,1,2,10,7,20,0,1,9,2,1,1
ACC042408,3,2,4,3,6,2,40,2,7,1,1,2,1
ACC042409,2,2,1,3,21,2,60,0,1,1,1,2,9
ACC042410,3,2,1,5,16,12,30,0,5,2,2,1,2
ACC042411,3,2,4,7,17,6,30,1,1,5,1,2,4
ACC042412,2,1,1,6,7,1,70,0,1,1,1,1,3
ACC042413,3,1,1,2,7,6,20,1,1,3,3,2,1
ACC042414,2,3,1,6,12,2,30,0,4,6,1,2,11
ACC042415,3,2,1,3,13,1,60,1,4,1,1,1,1
ACC042416,3,2,2,1,8,2,30,0,6,1,2,1,9
ACC042417,3,3,2,5,7,12,70,0,1,2,1,1,4
ACC042418,3,4,4,6,8,1,40,1,1,1,2,1,3
ACC042419,2,4,2,3,18,1,70,2,1,1,1,1,1
ACC042420,2,3,1,3,2,7,40,0,1,6,3,1,1
ACC042421,1,2,1,7,20,9,60,1,4,2,2,2,3
ACC042422,3,1,1,4,16,7,70,0,4,1,1,2,3
ACC042423,3,2,1,4,6,2,60,0,1,1,2,2,3
ACC042424,3,3,1,5,12,9,30,0,1,2,2,1,1
ACC042425,3,1,3,4,12,2,60,0,4,2,1,1,1
ACC042426,3,3,1,3,14,2,30,1,1,2,2,1,1
ACC042427,3,2,2,1,19,1,60,0,1,4,1,2,1
ACC042428,2,1,1,2,15,2,60,4,4,2,2,1,11
ACC042429,3,2,1,4,12,9,50,4,6,9,4,2,9
ACC042430,3,2,1,6,12,2,30,0,1,6,1,1,5
ACC042431,3,3,1,3,15,1,40,1,4,1,1,1,1
ACC042432,3,1,2,4,17,7,50,2,5,1,5,2,1
ACC042433,3,3,2,3,11,9,30,0,4,1,1,1,11
ACC042434,3,2,3,1,14,1,30,2,6,1,1,1,1
ACC042435,1,2,3,5,14,6,30,1,1,1,5,2,5
ACC042436,3,2,1,7,11,1,30,1,6,1,2,1,1
ACC042437,2,2,2,5,10,6,30,1,6,1,2,1,9
ACC042438,2,2,1,7,8,1,30,0,7,1,2,1,1
ACC042439,1,3,2,3,12,1,70,1,6,1,2,2,3
ACC042440,3,1,2,6,18,2,70,0,1,1,1,1,3
ACC042441,3,2,1,7,17,7,30,0,1,2,1,1,5
ACC042442,3,3,1,2,13,12,30,1,6,1,1,1,3
ACC042443,3,2,3,6,19,2,60,1,1,7,1,1,1
ACC042444,3,1,1,2,4,9,60,0,7,1,2,1,1
ACC042445,3,2,1,6,9,2,50,2,1,6,1,2,3
ACC042446,3,3,1,4,12,2,30,0,1,1,2,1,1
ACC042447,2,2,2,1,17,3,40,0,4,2,1,1,2
ACC042448,3,1,2,5,6,12,60,1,1,1,5,2,1
ACC042449,3,2,4,7,19,2,60,2,6,4,1,2,9
ACC042450,2,3,2,6,19,1,60,1,1,1,2,2,9
ACC042451,2,3,3,7,4,7,70,2,4,7,2,1,5
ACC042452,3,2,2,1,15,1,40,2,1,1,2,2,4
ACC042453,3,2,1,1,8,2,40,0,1,1,1,1,9
ACC042454,3,2,1,7,19,2,30,0,6,2,1,2,3
ACC042455,2,2,1,1,12,2,30,1,4,4,1,1,1
ACC042456,3,2,1,5,18,3,70,4,1,7,2,1,5
ACC042457,3,2,2,4,7,2,60,0,6,1,1,1,9
ACC042458,3,1,1,1,20,6,30,1,1,4,3,1,2
ACC042459,2,2,1,1,19,9,70,0,1,3,1,1,3
ACC042460,3,2,4,6,21,12,70,1,1,2,2,2,1
ACC042461,3,2,3,2,10,2,30,0,1,2,1,1,9
ACC042462,3,3,3,7,10,12,70,2,1,1,1,1,1
ACC042463,2,2,1,5,7,7,70,2,1,1,1,1,4
ACC042464,3,2,1,6,14,2,30,1,1,4,3,1,5
ACC042465,3,2,1,3,6,1,60,0,1,2,1,2,4
ACC042466,3,1,1,2,8,3,30,1,6,5,1,2,3
ACC042467,3,4,1,5,19,9,30,0,6,5,1,1,2
ACC042468,3,1,4,2,4,3,50,2,5,5,1,1,3
ACC042469,3,4,1,4,17,2,60,0,1,1,2,1,4
ACC042470,3,3,2,1,5,12,60,1,6,1,3,1,1
ACC042471,1,2,2,4,12,2,30,2,1,1,1,2,2
ACC042472,3,1,1,1,15,7,70,1,4,9,1,1,1
ACC042473,2,2,2,6,19,3,70,0,1,1,3,2,3
ACC042474,3,1,2,4,7,2,60,0,1,1,2,1,9
ACC042475,3,1,3,2,14,6,30,2,5,1,5,1,11
ACC042476,3,3,3,1,17,7,70,4,1,1,3,1,4
ACC042477,3,2,5,2,12,12,30,2,1,1,3,2,1
ACC042478,3,2,1,2,18,7,70,2,5,1,1,2,1
ACC042479,3,2,2,7,17,1,30,1,6,1,2,2,1
ACC042480,3,2,1,6,13,1,30,0,4,8,3,1,11
ACC042481,3,4,2,6,8,2,30,1,1,2,2,2,1
ACC042482,3,3,1,2,8,1,50,4,1,3,2,2,5
ACC042483,3,1,1,7,22,2,40,1,1,2,5,1,3
ACC042484,3,2,2,2,6,12,30,0,1,4,4,1,9
ACC042485,3,1,4,3,15,1,60,0,1,6,1,1,3
ACC042486,3,2,1,6,18,3,70,2,1,8,1,2,9
ACC042487,3,1,2,6,10,7,30,2,6,1,1,1,5
ACC042488,3,3,2,5,8,3,50,0,6,5,1,1,1
ACC042489,3,2,3,4,15,6,60,2,5,1,2,1,3
ACC042490,3,2,3,1,14,1,60,4,1,1,2,2,9
ACC042491,3,2,1,5,10,1,60,1,1,1,1,2,9
ACC042492,3,3,2,4,8,9,40,0,1,2,1,2,1
ACC042493,3,1,1,5,9,2,60,2,1,2,4,1,1
ACC042494,3,3,2,5,13,2,50,0,4,1,2,1,1
ACC042495,3,1,2,1,8,12,60,1,4,4,2,1,1
ACC042496,2,2,1,2,16,9,30,0,4,1,1,1,5
ACC042497,1,2,1,7,16,7,60,0,1,1,1,2,5
ACC042498,3,1,1,2,16,2,30,1,1,1,4,1,1
ACC042499,3,1,1,5,5,2,70,0,5,2,2,1,1
ACC042500,3,4,1,3,10,2,60,1,1,1,2,1,2
ACC042501,1,3,1,4,15,1,30,0,4,1,4,2,1
ACC042502,3,1,1,3,19,3,70,1,4,9,1,1,9
ACC042503,1,2,1,6,10,9,70,2,1,5,5,1,1
ACC042504,3,4,2,5,19,9,70,0,7,1,1,1,1
ACC042505,3,2,1,7,11,3,50,2,1,2,3,2,1
ACC042506,1,2,1,2,2,6,70,0,6,1,1,1,1
ACC042507,2,3,1,5,11,2,70,2,1,2,2,2,5
ACC042508,2,1,2,4,13,9,40,1,6,2,1,1,3
ACC042509,3,2,2,3,7,2,40,0,6,1,5,1,1
ACC042510,3,2,1,7,19,9,60,0,6,1,1,1,1
ACC042511,3,4,2,5,13,2,70,4,1,1,2,1,9
ACC042512,3,2,1,6,13,3,30,0,6,2,1,1,1
ACC042513,2,3,1,5,3,9,70,0,7,6,2,1,11
ACC042514,3,2,2,5,9,9,20,0,1,9,1,1,1
ACC042515,3,2,2,3,14,2,40,2,1,7,1,1,1
ACC042516,2,1,3,4,20,9,70,0,1,9,2,1,5
ACC042517,2,2,2,7,10,3,70,1,1,1,1,1,1
ACC042518,2,1,2,1,17,9,70,1,1,3,1,1,1
ACC042519,3,1,2,3,7,1,50,4,4,1,1,1,11
ACC042520,3,2,1,2,20,2,30,0,4,5,1,1,9
ACC042521,3,2,2,1,0,2,50,2,7,4,1,1,11
ACC042522,3,3,2,7,16,6,30,0,7,1,1,1,1
ACC042523,1,2,1,2,17,1,60,1,5,2,4,1,11
ACC042524,3,2,1,4,10,2,50,4,1,1,1,2,3
ACC042525,2,1,1,3,13,1,30,0,1,1,1,1,1
ACC042526,3,3,1,1,20,2,60,1,6,9,2,1,1
ACC042527,3,2,1,6,18,2,40,0,1,5,1,2,3
ACC042528,3,1,1,2,11,1,60,0,1,1,1,2,11
ACC042529,3,1,1,6,15,6,30,0,4,1,1,2,5
ACC042530,3,4,4,3,16,2,40,1,1,1,1,1,9
ACC042531,3,3,1,2,21,1,30,0,5,9,2,2,9
ACC042532,3,2,2,7,16,9,70,0,1,6,2,1,1
ACC042533,3,3,2,4,14,9,30,2,1,2,4,1,1
ACC042534,2,2,1,1,15,2,50,0,6,2,1,1,1
ACC042535,3,2,1,3,20,1,40,2,1,3,2,2,9
ACC042536,2,4,1,7,16,3,70,0,1,1,2,2,1
ACC042537,2,2,1,4,7,2,40,2,4,7,2,2,1
ACC042538,2,3,2,6,17,9,50,0,1,2,3,1,4
ACC042539,3,2,3,5,19,1,40,0,5,1,2,2,1
ACC042540,3,2,1,6,12,1,30,0,1,1,3,1,5
ACC042541,3,4,1,1,17,2,30,2,1,2,1,1,9
ACC042542,3,1,1,1,12,1,30,2,5,1,2,1,1
ACC042543,3,2,1,7,12,9,30,0,1,2,4,1,1
ACC042544,2,1,2,7,9,2,30,4,5,5,1,1,1
ACC042545,2,2,1,6,8,7,70,2,5,4,1,1,1
ACC042546,3,1,3,3,11,1,30,0,4,2,1,1,1
ACC042547,2,2,1,4,19,9,60,0,1,2,3,1,1
ACC042548,3,4,1,6,18,2,20,2,1,1,1,1,11
ACC042549,3,3,2,7,9,9,50,0,1,2,2,1,11
ACC042550,1,1,2,6,10,2,40,0,1,1,3,1,9
ACC042551,3,3,1,3,8,3,60,1,1,7,2,1,3
ACC042552,3,1,2,3,10,6,30,1,1,6,2,2,1
ACC042553,3,2,1,6,12,2,60,2,1,1,2,2,1
ACC042554,3,1,3,4,9,2,70,0,1,4,1,2,1
ACC042555,2,2,3,1,19,9,60,1,1,3,4,2,1
ACC042556,3,2,1,2,11,1,60,1,4,8,1,1,2
ACC042557,3,1,1,4,1,1,30,0,4,2,1,1,1
ACC042558,2,1,1,2,19,1,30,1,5,3,1,1,1
ACC042559,1,3,2,5,18,2,30,0,6,2,2,2,1
ACC042560,3,2,2,5,12,12,20,4,1,1,1,2,1
ACC042561,3,2,2,6,7,1,30,2,1,1,3,2,9
ACC042562,1,3,5,6,18,12,40,0,6,1,1,2,1
ACC042563,3,1,1,7,8,1,30,1,1,1,1,2,11
ACC042564,3,2,1,7,10,9,30,1,5,1,1,2,3
ACC042565,3,2,1,3,8,7,70,1,1,3,1,1,1
ACC042566,3,1,1,5,11,2,50,2,6,3,1,1,11
ACC042567,3,1,1,3,12,9,30,0,7,8,1,2,3
ACC042568,1,1,1,2,13,2,30,1,4,1,2,2,4
ACC042569,3,2,3,6,11,2,60,1,5,7,1,1,3
ACC042570,2,2,1,6,9,2,30,0,1,2,2,2,3
ACC042571,3,2,1,4,15,12,60,0,1,2,1,1,9
ACC042572,3,1,2,1,15,3,50,1,5,2,1,1,9
ACC042573,2,2,1,1,18,9,30,2,4,3,1,2,1
ACC042574,3,2,1,2,9,2,30,4,4,1,2,2,2
ACC042575,3,3,1,5,19,1,30,1,4,4,1,2,9
ACC042576,3,3,2,7,6,9,60,0,1,3,4,2,1
ACC042577,2,2,2,7,8,2,70,1,1,9,5,1,11
ACC042578,3,3,1,5,9,3,30,2,5,6,2,2,3
ACC042579,3,3,1,4,23,2,30,1,1,2,1,1,9
ACC042580,3,2,1,6,16,2,30,4,7,3,1,1,11
ACC042581,3,2,2,5,15,1,30,4,1,7,1,1,3
ACC042582,3,1,1,4,12,9,30,0,6,8,2,1,3
ACC042583,3,1,1,3,12,12,30,1,4,4,2,2,9
ACC042584,2,3,1,6,8,9,60,2,5,4,1,1,3
ACC042585,3,2,1,5,11,3,70,2,6,1,2,1,5
ACC042586,3,3,1,5,9,6,40,0,1,5,1,2,9
ACC042587,3,3,1,6,11,1,70,1,1,1,2,1,1
ACC042588,2,3,1,6,13,2,70,0,1,2,2,1,3
ACC042589,3,1,1,4,12,1,60,1,1,1,2,1,11
ACC042590,3,1,1,6,10,3,40,0,1,1,1,1,2
ACC042591,3,4,1,7,16,2,30,2,1,1,2,1,11
ACC042592,2,2,1,4,17,6,60,1,4,5,1,2,9
ACC042593,3,2,3,3,17,2,30,1,5,4,1,2,5
ACC042594,3,1,2,6,6,2,40,2,1,2,2,2,3
ACC042595,2,2,2,2,0,7,30,4,1,2,1,2,9
ACC042596,3,1,1,4,19,1,70,0,4,9,1,2,3
ACC042597,3,3,2,2,11,6,30,1,6,1,2,2,1
ACC042598,2,1,1,4,13,12,30,1,4,2,1,1,5
ACC042599,3,2,1,5,15,3,30,0,5,2,1,2,1
ACC042600,3,3,1,7,9,1,30,0,1,7,2,2,1
ACC042601,3,2,2,7,7,1,30,1,1,1,4,1,3
ACC042602,3,3,2,3,15,7,30,1,1,9,1,2,9
ACC042603,2,2,2,1,6,9,60,0,1,1,1,1,1
ACC042604,2,3,2,1,17,2,50,1,5,1,3,1,5
ACC042605,2,2,1,1,10,1,60,0,1,1,1,1,5
ACC042606,2,2,1,4,10,12,30,0,6,1,1,2,1
ACC042607,3,2,2,7,8,2,60,2,1,2,1,1,3
ACC042608,3,2,1,2,18,9,30,1,1,2,3,2,3
ACC042609,3,2,1,1,18,2,30,4,5,1,1,1,1
ACC042610,1,1,1,4,10,7,30,0,1,2,3,1,9
ACC042611,3,1,1,3,12,3,50,1,4,5,1,1,4
ACC042612,3,2,2,6,15,2,30,0,6,5,1,1,2
ACC042613,2,1,2,6,12,3,30,0,1,3,1,2,11
ACC042614,1,2,1,4,20,6,30,0,6,7,1,2,3
ACC042615,3,2,2,3,11,12,30,1,5,2,4,2,1
ACC042616,3,4,1,5,16,7,70,0,6,1,1,1,3
ACC042617,3,4,2,3,8,2,30,0,6,1,3,1,1
ACC042618,3,2,1,1,16,2,30,2,1,1,3,1,3
ACC042619,1,1,5,2,12,1,30,1,1,2,2,2,3
ACC042620,3,2,1,7,17,9,30,0,1,6,1,2,9
ACC042621,3,3,3,4,11,9,40,0,4,5,1,1,9
ACC042622,3,2,2,4,17,9,60,0,4,1,2,1,1
ACC042623,3,2,2,2,4,1,50,2,7,2,1,2,1
ACC042624,3,2,2,6,7,3,40,2,4,2,1,1,1
ACC042625,3,3,1,6,16,7,40,4,1,9,1,1,3
ACC042626,3,2,5,2,11,7,30,1,5,1,1,2,2
ACC042627,2,2,1,5,17,2,30,2,1,2,3,2,3
ACC042628,3,2,2,5,15,9,70,0,1,9,1,1,1
ACC042629,3,3,4,6,16,1,40,0,5,8,1,1,11
ACC042630,3,2,1,6,14,9,30,4,1,1,4,2,1
ACC042631,3,2,1,3,18,2,60,2,1,1,2,1,3
ACC042632,3,1,1,3,6,3,50,4,4,2,1,1,11
ACC042633,3,2,1,3,14,1,30,0,1,5,1,1,9
ACC042634,3,2,1,5,0,12,60,0,5,1,2,1,2
ACC042635,3,2,1,6,2,7,40,1,4,7,2,1,9
ACC042636,3,2,1,4,20,9,20,1,1,1,2,1,9
ACC042637,3,1,3,7,15,2,30,0,4,2,1,1,2
ACC042638,2,2,2,7,9,1,70,1,1,3,1,2,3
ACC042639,3,3,1,2,11,1,50,2,5,1,2,1,5
ACC042640,3,3,1,7,16,12,60,1,1,1,1,2,1
ACC042641,3,2,2,2,9,6,60,4,1,2,2,1,2
ACC042642,3,2,4,5,7,2,30,0,1,5,1,2,1
ACC042643,3,2,1,6,7,6,50,4,1,1,2,2,1
ACC042644,3,4,1,5,21,7,30,0,7,2,1,1,9
ACC042645,2,2,1,7,16,9,30,2,4,2,2,1,9
ACC042646,3,2,2,1,18,1,30,1,7,2,2,1,11
ACC042647,3,2,1,6,11,9,30,0,4,7,1,2,1
ACC042648,3,3,2,6,18,6,30,0,6,2,1,1,5
ACC042649,2,1,2,2,20,7,60,0,1,2,2,1,3
ACC042650,2,2,2,3,8,3,30,2,1,2,1,2,1
ACC042651,3,2,2,6,20,12,50,2,4,3,1,1,1
ACC042652,3,1,4,4,17,3,70,1,4,1,1,1,1
ACC042653,3,4,2,6,15,2,30,1,1,6,1,1,1
ACC042654,3,4,2,4,22,9,20,2,1,1,2,2,1
ACC042655,2,2,1,1,8,9,60,2,6,2,1,2,11
ACC042656,3,4,1,1,15,9,50,2,1,2,1,2,1
ACC042657,3,2,1,3,20,2,30,0,1,1,1,1,9
ACC042658,3,1,2,2,7,2,30,1,1,1,1,1,11
ACC042659,3,2,1,6,8,2,70,1,5,1,2,1,1
ACC042660,3,3,1,5,13,9,30,0,4,1,1,2,3
ACC042661,2,2,2,5,10,1,30,1,1,5,1,1,1
ACC042662,3,2,3,4,5,12,30,0,1,5,1,1,3
ACC042663,3,2,3,4,13,7,30,1,1,1,3,2,1
ACC042664,3,1,1,2,8,9,60,0,1,1,5,2,9
ACC042665,3,2,3,1,10,3,60,1,1,5,2,2,11
ACC042666,3,4,2,1,14,9,60,0,6,1,1,1,1
ACC042667,3,1,1,6,8,6,50,0,6,9,1,2,1
ACC042668,3,1,3,3,9,6,70,0,1,1,1,1,11
ACC042669,3,2,2,4,4,7,50,1,4,3,1,1,1
ACC042670,3,2,1,4,15,2,30,1,4,1,1,2,1
ACC042671,3,2,2,1,15,2,60,2,1,1,1,1,9
ACC042672,2,2,1,1,12,9,30,4,1,1,1,2,1
ACC042673,3,2,1,5,10,7,70,1,1,2,1,1,1
ACC042674,3,2,1,5,4,2,50,4,1,1,3,2,3
ACC042675,3,2,2,6,8,6,30,4,4,2,2,2,9
ACC042676,3,2,2,1,7,12,50,1,6,1,3,1,3
ACC042677,3,2,3,3,12,6,40,0,1,1,2,1,1
ACC042678,3,3,1,2,11,9,50,2,4,2,1,1,5
ACC042679,3,2,1,7,13,1,60,1,4,1,4,1,1
ACC042680,2,2,2,5,2,1,30,0,4,1,4,2,3
ACC042681,3,1,1,3,14,1,30,0,4,2,2,1,5
ACC042682,3,2,1,6,16,7,60,0,5,2,4,1,1
ACC042683,3,1,1,2,13,3,50,0,1,8,1,2,1
ACC042684,3,3,1,6,0,1,30,4,4,4,2,2,1
ACC042685,3,2,2,2,7,1,30,0,1,1,2,1,1
ACC042686,2,2,1,4,20,9,30,0,5,1,2,2,1
ACC042687,3,4,1,4,11,3,70,2,4,1,3,1,1
ACC042688,3,2,2,3,8,2,30,0,1,1,2,1,1
ACC042689,2,2,2,5,15,2,50,4,1,1,1,1,1
ACC042690,1,1,1,5,12,2,40,0,1,1,3,1,1
ACC042691,2,2,1,1,15,9,60,1,1,1,2,2,1
ACC042692,2,2,2,6,9,1,30,0,1,1,2,1,1
ACC042693,3,4,3,3,12,1,60,0,1,1,1,2,1
ACC042694,3,2,4,3,9,9,60,4,1,1,2,1,1
ACC042695,3,1,2,5,16,2,40,0,1,1,2,1,11
ACC042696,3,2,1,7,9,1,30,0,6,2,1,1,1
ACC042697,3,2,1,4,12,2,60,4,1,1,2,1,5
ACC042698,1,1,3,4,6,2,60,1,1,1,3,2,1
ACC042699,3,2,4,7,6,6,20,1,1,1,1,1,2
ACC042700,3,1,3,3,8,1,30,0,5,2,1,1,1
ACC042701,3,1,2,5,16,7,50,2,1,5,1,2,2
ACC042702,3,3,1,6,18,1,30,0,1,1,1,2,5
ACC042703,3,2,1,7,7,1,70,2,4,2,1,1,3
ACC042704,3,2,2,6,15,1,30,0,1,2,3,1,1
ACC042705,3,2,1,3,19,2,70,0,1,2,1,1,3
ACC042706,3,2,1,6,11,2,60,1,6,5,2,1,3
ACC042707,3,3,1,2,8,9,30,4,6,5,1,1,1
ACC042708,3,1,1,1,8,2,30,0,1,1,2,2,1
ACC042709,3,2,2,5,16,9,40,0,4,1,2,1,1
ACC042710,2,2,1,5,18,9,50,0,1,2,2,2,5
ACC042711,3,1,1,7,9,12,30,1,1,7,2,1,1
ACC042712,3,4,1,1,16,12,30,1,4,4,1,1,1
ACC042713,3,4,1,5,17,7,60,0,6,1,1,1,5
ACC042714,3,2,3,5,17,9,30,1,4,1,1,2,11
ACC042715,3,2,2,4,17,7,60,0,4,4,2,1,1
ACC042716,3,4,2,7,16,2,60,1,5,2,1,1,1
ACC042717,3,2,2,4,5,1,50,2,1,2,2,2,5
ACC042718,3,1,1,2,17,3,30,1,1,2,2,2,1
ACC042719,3,3,2,7,8,1,50,1,1,1,1,2,1
ACC042720,3,1,2,2,0,2,70,1,5,5,1,1,4
ACC042721,3,1,4,2,12,1,60,0,1,5,2,1,4
ACC042722,2,3,2,1,18,1,60,2,1,2,2,2,5
ACC042723,2,2,2,4,6,7,30,0,4,2,1,1,1
ACC042724,3,3,1,4,21,9,20,1,4,2,1,1,9
ACC042725,1,2,1,1,7,7,30,2,1,1,1,2,1
ACC042726,2,2,1,4,11,3,30,0,1,1,1,2,1
ACC042727,3,2,2,2,13,7,30,0,1,1,1,2,1
ACC042728,2,2,5,1,16,1,30,1,1,6,1,1,3
ACC042729,3,3,1,5,6,1,70,0,5,1,1,1,11
ACC042730,3,1,1,4,13,9,30,4,5,1,2,1,1
ACC042731,3,2,2,6,10,1,60,0,1,2,3,1,5
ACC042732,3,2,1,4,22,2,60,0,6,1,2,1,11
ACC042733,3,4,1,4,10,7,30,2,5,1,2,2,3
ACC042734,3,1,2,1,19,2,70,1,6,2,2,2,1
ACC042735,2,2,3,3,18,1,30,2,1,2,4,2,1
ACC042736,3,1,2,6,17,9,60,0,5,2,1,1,2
ACC042737,3,3,1,6,14,2,60,0,4,2,2,1,9
ACC042738,3,1,1,3,18,9,30,0,4,2,1,2,1
ACC042739,3,2,1,1,18,2,30,2,1,1,5,1,9
ACC042740,1,2,2,4,20,12,30,1,1,2,3,2,11
ACC042741,2,2,2,3,16,2,50,1,6,1,1,2,1
ACC042742,3,2,3,3,14,2,30,4,1,1,2,1,5
ACC042743,3,2,1,7,12,7,60,4,1,1,2,1,3
ACC042744,3,1,1,3,15,9,30,1,4,1,3,2,1
ACC042745,3,2,4,6,17,12,40,0,1,1,1,2,3
ACC042746,3,2,3,3,12,1,30,0,6,1,1,2,5
ACC042747,3,2,1,6,17,7,30,4,1,2,1,1,1
ACC042748,3,3,2,7,4,9,30,1,1,2,1,2,4
ACC042749,3,1,1,5,15,9,20,0,4,1,3,1,2
ACC042750,3,2,4,7,14,2,50,0,6,8,1,1,5
ACC042751,3,2,1,7,6,12,30,1,1,2,1,1,11
ACC042752,3,2,2,1,19,1,50,2,1,5,1,1,11
ACC042753,3,2,2,2,17,9,70,1,6,2,1,1,1
ACC042754,3,1,1,3,9,9,60,0,5,1,5,1,11
ACC042755,3,2,1,2,16,2,30,4,1,8,4,2,4
ACC042756,3,2,3,3,17,2,30,0,1,5,2,1,11
ACC042757,2,3,1,6,19,1,70,0,1,2,2,1,9
ACC042758,3,2,2,2,13,9,60,0,1,1,1,1,5
ACC042759,3,1,1,1,6,2,50,0,1,1,1,2,1
ACC042760,3,2,2,2,4,9,30,0,4,4,1,1,9
ACC042761,3,1,2,3,7,1,70,0,1,1,1,1,11
ACC042762,2,4,1,4,7,1,50,0,1,2,1,1,1
ACC042763,3,2,1,3,20,12,60,4,6,2,1,1,1
ACC042764,3,1,2,6,17,6,30,0,1,1,1,1,1
ACC042765,3,1,2,2,8,3,60,1,6,3,3,1,9
ACC042766,2,1,1,3,5,9,30,1,1,3,1,2,1
ACC042767,3,2,2,4,8,2,30,1,1,1,1,1,5
ACC042768,3,2,1,5,13,9,30,0,1,2,2,2,3
ACC042769,3,4,1,2,17,9,70,0,5,5,1,1,2
ACC042770,3,1,1,3,7,6,60,1,1,2,1,2,11
ACC042771,2,1,2,7,10,2,50,0,4,2,2,1,1
ACC042772,3,2,1,2,1,2,30,0,1,1,1,2,1
ACC042773,3,2,2,5,14,12,30,2,4,1,1,1,9
ACC042774,3,4,4,5,10,9,70,1,1,9,1,1,9
ACC042775,3,4,4,1,16,2,60,1,1,2,2,1,1
ACC042776,3,4,2,4,17,7,50,1,1,1,1,2,2
ACC042777,3,2,1,7,8,1,60,1,1,3,2,2,1
ACC042778,2,1,1,7,16,12,40,1,1,2,1,1,9
ACC042779,3,2,2,2,7,2,60,2,1,1,2,2,1
ACC042780,2,4,1,2,12,2,30,0,1,5,4,2,11
ACC042781,2,1,2,1,10,2,30,0,6,1,1,1,1
ACC042782,3,2,5,3,3,1,40,0,1,2,2,1,1
ACC042783,3,2,1,6,13,2,70,1,1,2,4,1,3
ACC042784,3,2,2,4,18,12,40,4,5,1,1,1,3
ACC042785,2,1,3,4,19,2,30,0,4,4,1,1,1
ACC042786,3,2,1,7,16,2,30,2,5,2,1,1,1
ACC042787,2,1,1,3,12,9,60,0,1,4,5,2,2
ACC042788,2,1,1,2,12,9,60,2,1,1,2,1,4
ACC042789,2,1,2,2,22,7,30,1,1,7,4,2,11
ACC042790,1,1,2,6,12,2,50,0,1,1,1,1,1
ACC042791,3,2,1,1,12,1,60,1,1,2,2,2,5
ACC042792,3,3,1,4,7,2,30,0,6,7,1,1,9
ACC042793,3,2,1,2,10,9,60,0,6,1,2,1,1
ACC042794,2,3,4,2,14,3,30,0,4,1,4,1,1
ACC042795,2,2,3,4,2,2,70,1,6,9,1,1,3
ACC042796,2,3,2,1,14,3,50,4,1,8,1,2,1
ACC042797,3,2,1,6,4,2,30,2,5,4,1,1,4
ACC042798,2,2,2,6,19,1,40,0,5,2,1,2,1
ACC042799,2,2,2,4,7,6,70,0,5,2,1,1,1
ACC042800,2,2,2,3,13,9,30,4,6,1,1,1,11
ACC042801,3,2,2,2,8,12,50,1,1,1,1,1,5
ACC042802,1,1,2,7,10,9,30,1,1,1,1,1,3
ACC042803,3,2,1,1,9,12,30,0,4,1,1,2,1
ACC042804,3,1,2,3,22,1,30,2,1,2,1,1,5
ACC042805,3,2,3,6,18,9,40,0,7,2,1,1,1
ACC042806,2,2,3,4,3,7,70,0,7,2,1,2,1
ACC042807,2,1,1,2,19,12,30,0,1,2,1,1,5
ACC042808,3,3,1,6,8,3,60,1,7,5,2,1,1
ACC042809,3,1,1,4,15,3,70,0,6,1,4,1,3
ACC042810,3,1,1,5,15,3,40,1,1,1,1,1,11
ACC042811,3,4,4,4,14,7,50,4,4,2,1,1,1
ACC042812,2,3,1,6,9,1,60,1,1,1,2,1,1
ACC042813,3,2,1,1,14,1,40,1,1,1,5,2,11
ACC042814,3,4,2,5,3,3,70,0,1,2,1,2,1
ACC042815,3,2,4,3,11,3,30,0,1,1,1,1,4
ACC042816,2,3,2,1,11,7,70,1,1,6,1,2,1
ACC042817,2,1,2,2,15,7,70,0,4,2,1,1,11
ACC042818,2,2,1,7,10,1,70,0,1,1,3,2,3
ACC042819,3,3,1,2,8,2,30,0,5,2,1,1,5
ACC042820,3,2,1,4,21,2,40,1,5,4,2,1,1
ACC042821,3,2,1,7,12,2,30,0,1,2,2,1,9
ACC042822,3,2,1,2,11,1,30,0,1,5,1,1,11
ACC042823,3,2,1,2,14,1,60,2,4,3,2,1,1
ACC042824,3,2,1,2,7,2,30,2,1,1,2,1,2
ACC042825,3,2,1,4,20,1,20,0,1,1,1,2,9
ACC042826,3,3,1,4,19,1,40,0,4,2,1,1,1
ACC042827,3,1,1,3,17,2,50,0,1,1,3,1,1
ACC042828,3,2,1,5,7,7,30,0,5,2,5,2,2
